key,value
ร้านค้ามีสินค้าที่เน้นวัฒนธรรมไทย,0
มีบริการจัดงานสัมมนา,0
มีที่นั่งรอในรถลิฟท์ที่สะดวก,0
ไม่มีห้องน้ำ,0
บางร้านมีบริการแต่งตัว,0
สงบดีคะ แต่ถ้าสายๆคนจะมาเยอะ,0
มีที่นั่งสำหรับพักผ่อน,0
บางร้านมีบริการแก้ไขสินค้า,0
มีบริการช่วยเหลือด้านต่าง ๆ,0
เป็นคนชอบช๊อปปิ้งอยู่เเล้วค่ะ,0
บางร้านมีบริการจัดทำโปรโมชั่น,0
บางร้านมีการจัดงานสัมมนา,0
มีบริการช่วยเหลือคนทุกวัย,0
บรรยากาศในร้านค้าน่ารัก,0
มีบริการจัดทำงานแสดงศิลปะ,0
มีที่จอดรถสำหรับคนพิการ,0
บางร้านมีบริการจัดส่งฟรี,0
ไม่ค่อยมีอะไรที่น่าสนใจ,0
ดีชม ดีมากที่วัดนี้ อย่างไรก็ตาม มันแออัด,0
ความสวยงามทางศาสนา,0
การเดินป่าที่ดี,0
รู้สึกเฉยๆ,0
รู้สึกงั้นๆ,0
ดที่สวยงาม แต่มันก็ยุ่งเกินไป,0
เป็นสถานที่ที่ไม่ควรพลาดเมื่อคุณอยู่ภายในอาคารเดอะแกรนด์พาเลซ เป็นวัดที่เก่าแก่ที่สุดแห่งหนึ่ง,0
เงียบสงบดีครับแต่ช่วงสายๆจะคนเยอะ,0
ความสวยงามที่ควรสัมผัส,0
เอกลักษณ์ที่ต้องสัมผัสด้วยตาตนเอง,0
หาที่เดินชิวไปสบายๆผ่านมามีโอกาสแวะเป็นสถานที่ที่ทำให้ใจสงบดี,1
เป็นวัดที่สวยมากอากาศร่มรื่นมาก มีความสะอาด,1
วัดที่สวยมากอากาศร่มรื่นมาก,1
วัดมีความสวยงาม เป็นเอกลักษณ์,1
สวยมากครับ รู้สึกนึกถึงอดีต ไปหลายครั่งมากก็ยังประทับใจอยู่ทุกครั้งเลยครับ,1
มีการดูแลสถานที่ดีสะอาดเป็นระเบียยเรียบร้อยรักษาสภาพให้น่าเยี่ยมชมดี​,1
เป็นวัดที่ค่อนข้างร่มรื่น สวยงาม,1
สถานที่กว้างขวาง,1
เดินทางสะดวก,1
เงียบสงบ เย็นสบาย,1
ไปกี่รอบก็ไม่เบื่อ,1
สถานที่สวยงาม,1
วัดสวยเหมาะกับมาทำบุญถ่ายรูป,1
แพงและดี,1
ไม่ผิดหวัง,1
ชุดสวยราคาไม่แพง,1
สวยมาก เดินเที่ยวชมทั้งวันก็ไม่รู้สึกเหนื่อย,1
คือดีไม่ร้อน คนไม่วุ่นวาย สงบและสวยงามมาก เสียงลมพัดทำให้จิตใจสงบ,1
สวยงามมาก,1
วัดที่มีสถาปัตยกรรมและพุทธศิลป์อันงดงามระดับโลก,1
งดงาม,1
คนไม่วุ่นวาย,1
สงบและสวยงามมาก,1
บรรยายกาศดีครับ,1
การพักผ่อนที่ดี,1
เป็นวัดที่เก่าแก่สวยงามมาก,1
วัดที่เข้าไปแล้วสบายกาย,1
ดีเยี่ยม,1
วัดที่มีพระพุทธรูป​ที่สวยงามมาก,1
สบายดี,1
ประสบการณ์ที่ดี,1
รู้สึกดีมาก,1
ดีมากเลยครับ,1
ดีมากเลย,1
ประทับใจ,1
ที่นี้มีร้านอาหารใกล้ๆ,1
เหมาะสำหรับนัดเจอเพื่อน,1
สวยงามระดับโลก,1
ใครสายถ่ายรูปห้ามพลาด,1
น่ารักมากจร้า,1
พึงพอใจมาก,1
ห้องน้ำสะอาด,1
บริการคุณภาพ ประทับใจ,1
ผ่อนคลาย,1
ชอบประสบการณ์นี้มาก,1
วัดสวย คนไม่พลุกพล่าน,1
สถานที่ ที่ไม่ควรพลาด,1
สถาปัตยกรรมที่สวยงาม,1
ภาพสวยมาก,1
ไม่น่าเบื่อ,1
ไม่แย่,1
ดี,1
ดีสุด,1
ดีสุดๆ,1
บริการดี ประทับใจ ไม่ผิดหวัง,1
นวดดีมาก พนักงานสุภาพ น่ารัก,1
อิ่มบุญ สบายใจ,1
จอดรถสะดวก,1
สงบ สวย และน่าเคารพ,1
วัดไทยสวยจริงๆ,1
อิ่มบุญ และ ผ่อนคลาย,1
เหมาะแก่การพักผ่อน และช้อปปิ้ง,1
วัดสวย,1
เยี่ยมชมที่น่าจดจำมาก,1
ช่วงนี้คนไม่ค่อยเยอะ,1
มันคุ้มค่า,1
สวยมากๆ,1
สวยมากค่ะ,1
ดีมาก,1
วัดดีที่น่าจดจำ,1
ประสบการณ์ดีๆและความรู้สึกที่ดี แนะนำอย่างยิ่ง,1
สิ่งที่ไม่ควรพลาด,1
ประสบการณ์ชั้นนำของเราในประเทศไทย,1
สวยงามตามท้องเรื่อง,1
ห้องสวย วิวดี โอเคเลย พื้นที่ก็กว้างพอสมควร,1
ขอบคุณสำหรับรีวิวค่ะ น่าไปตามมากๆ,1
เคยไปหลายปีแล้ว  ชอบหาดตาแหวนสุดเลย หาดกว้าง ทรายสวย น้ำทะเลใสวิ้ง,1
น่าตามรอยมากจ้า...ขอบคุณค่ะ,1
สวยมากค่ะน้ำใสน่าไปเที่ยวมาก,1
สวยมากเลยค่ะ ถ่ายรูปสวนมากด้วย,1
น่าเที่ยวค่ะ,1
สถานที่สะอาดมาก,1
เงียบสงบ,1
ดีจัง,1
ร้านอาหารให้เลือกเยอะเหมาะ,1
สะอาด สะดวกเวลามา,1
น่าเที่ยวจังค่ะ,1
หรูหรา,1
การดูแลเข้มงวด,1
ขอบคุณค่ะสวยมากน่าไปถ่ายรูป,1
ยอดเยี่ยม,1
ยอดเยี่ยมมาก,1
ยอดเยี่ยมสุดๆ,1
ยอดเยี่ยมจริงๆ,1
ขอบคุณมากค่ะ น่าไปจัง,1
คู่มือที่ยอดเยี่ยมสำหรับทัวร์ป่าจริง,1
สวยมากค่า,1
เกาะล้านยังสวยงามอยู่มากนะคะ,1
น้ำใส สวยสมคำล่ำลื่อม,1
สวยคับ 555,1
ภูมิใจสุดๆ,1
น้ำทะเลใส บรรยากาศดี,1
หาดสวย วิวดี เมืองที่ไม่เคยหลับ,1
หาดดีมีชื่อเสียง,1
ห้างสุดหรูกลางเมือง,1
หาดยอดนิยม ของภูเก็ต,1
ยิ่งเดินสบาย,1
ชายหาดที่ไม่มีวันหลับ,1
บรรยากาศในสยาม พารากอนน่ารัก,1
ร้านค้าที่นี่มีความหลากหลายมาก,1
การจัดโปรโมชั่นที่นี่น่าสนใจมาก,1
บริการลูกค้าเป็นกันเองและเป็นมิตร,1
มีสถานที่นั่งรอและพักผ่อนอย่างสะดวก,1
อาหารและเครื่องดื่มที่นี่อร่อยมาก,1
มีกิจกรรมและสิ่งที่สนุกสนานมากมาย,1
บางร้านมีการแจกแจงของฟรี,1
การจัดแสดงและกิจกรรมที่น่าตื่นเต้น,1
ร้านค้ามีการจัดวางสินค้าที่เป็นระเบียบ,1
มีที่จอดรถที่สะดวกสบาย,1
การเดินทางสะดวก,1
บางร้านมีราคาที่เป็นมิตร,1
มีร้านค้าที่นำเข้าสินค้านานาชาติ,1
บรรยากาศส่วนตัวและสบาย,1
ความสะอาดรักษาได้ดี,1
บางครั้งมีโปรโมชั่นลดราคา,1
ร้านค้ามีการบริการที่รวดเร็ว,1
มีบริการช่วยเหลือและแนะนำสินค้า,1
มีที่นั่งพักผ่อนและพื้นที่สวน,1
ร้านค้ามีการเปิดให้บริการที่ยาวนาน,1
บางร้านมีการจัดโปรโมชั่นส่วนลด,1
มีบริการลูกค้าในภาษาต่างประเทศ,1
มีการจัดแสดงที่น่าสนใจ,1
บางร้านมีการส่งสินค้าถึงบ้าน,1
การเดินทางสามารถทำได้ในระยะเดิน,1
บางร้านมีการจัดบรรยากาศที่น่ารัก,1
มีบริการที่ช่วยเหลือคนพิการ,1
บางร้านมีโปรโมชั่นสำหรับลูกค้าประจำ,1
มีที่นั่งด้านนอกที่สะดวกสบาย,1
มีสถานที่ถ่ายรูปที่สวยงาม,1
บางร้านมีการจัดกิจกรรมส่งเสริมการขาย,1
ร้านค้ามีสินค้าที่น่าสนใจและไม่ซ้ำซาก,1
มีที่นั่งพักที่มีวิวที่น่าสนใจ,1
บางร้านมีการจัดทำงานแสดงศิลปะ,1
มีบริการลูกค้าออนไลน์ที่ดี,1
ได้เห็นศิลปะที่สวยงาม,1
บางร้านมีการจัดโปรโมชั่นเฉพาะวัน,1
มีร้านค้าที่เน้นสินค้าภาคใต้,1
บางร้านมีการจัดทำนาฬิกาที่น่าสนใจ,1
บางร้านมีบริการจัดส่งฟรี,1
บรรยากาศในห้างเงียบสงบและเพราะ,1
บางร้านมีโปรโมชั่นแฟลชเซลล์,1
มีที่จอดรถสำหรับคนพิการ,1
บางร้านมีบริการแต่งตัว,1
มีที่นั่งสำหรับพักผ่อน,1
บางร้านมีบริการแก้ไขสินค้า,1
มีบริการช่วยเหลือด้านต่าง ๆ,1
ร้านค้ามีสินค้าที่เน้นวัฒนธรรมไทย,1
บางร้านมีบริการจัดงานสัมมนา,1
มีที่นั่งรอในรถลิฟท์ที่สะดวก,1
หาดสวยค่ะ,1
เดินทั้งวันก้อไม่เบื่อค่ะ,1
คุ้มค่าแก่การเข้าชม,1
อยากหนีความวุ่นวายจากเกาะอื่นๆมาเกาะนี้ได้,1
สวยมากครับ บรรยากาศดี,1
มันใช้ได้,1
ทะเลบางแสนมีวิวที่งดงาม,1
มีร้านอาหารทะเลที่อร่อย,1
ทะเลบางแสนมีทรัพยากรทะเลมาก,1
มีกิจกรรมทางทะเลที่น่าสนุก,1
ทะเลบางแสนมีสถานที่ท่องเที่ยวทะเล,1
มีโรงแรมทะเลที่มีบริการดี,1
ทะเลบางแสนมีการจัดงานทางทะเล,1
มีสวนสนุกทะเลที่น่าสนใจ,1
ทะเลบางแสนมีที่นั่งชมวิวทะเล,1
มีกิจกรรมท่องเที่ยวทะเลที่น่าสนใจ,1
ทะเลบางแสนมีการบริการท่องเที่ยวทะเล,1
มีกิจกรรมทะเลที่สนุกสนาน,1
ทะเลบางแสนมีการจัดกิจกรรมทะเล,1
มีกิจกรรมทะเลที่สนุกสนาน,1
ทะเลบางแสนมีร้านค้าทะเลที่น่าสนใจ,1
มีสถานที่ท่องเที่ยวทะเลที่สวยงาม,1
มีกิจกรรมทะเลที่สนุกสนาน,1
ทะเลบางแสนมีที่นั่งรอชมพระอาทิตย์ตก,1
มีกิจกรรมทะเลที่สนุกสนาน,1
ทะเลบางแสนมีการจัดงานทะเล,1
มีกิจกรรมทะเลที่สนุกสนาน,1
มีกิจกรรมทะเลที่สนุกสนาน,1
มีที่พักทะเลที่มีความสะดวกสบาย,1
มีสถานที่ท่องเที่ยวในทะเลที่สวยงาม,1
มีกิจกรรมทะเลที่สนุกสนาน,1
น้ำตกมีทรัพยากรธรรมชาติที่สวยงาม,1
บรรยากาศรอบน้ำตกเงียบสงบ,1
น้ำตกเป็นสถานที่ท่องเที่ยวที่เหมาะกับการพักผ่อน,1
บริเวณรอบน้ำตกมีพื้นที่สีเขียวที่สวยงาม,1
น้ำตกมีการจัดการท่องเที่ยวที่ดี,1
บรรยากาศรอบน้ำตกเงียบสงบ,1
น้ำตกมีการจัดกิจกรรมท่องเที่ยวที่น่าสนใจ,1
บริเวณรอบน้ำตกมีที่นั่งพักผ่อนที่สะดวกสบาย,1
น้ำตกมีลักษณะทางธรรมชาติที่น่าทึ่ง,1
บรรยากาศรอบน้ำตกสดชื่น,1
น้ำตกมีที่จอดรถสะดวก,1
ไปแล้วมีความสุขทางใจมากค่ะ,1
บรรยากาศรอบน้ำตกสวยงาม,1
การเดินทางโดยเรือสะดวก,1
เป็นสถานที่ท่องเที่ยวที่สวยงามมาก,1
สปานี้มีบรรยากาศที่เงียบสงบและผ่อนคลาย,1
บรรยากาศภายในสปานี้น่ารู้สึกสบาย,1
บริการที่นี่มีคุณภาพดี,1
พนักงานที่สปานี้เอาใจใส่และเป็นมืออาชีพ,1
สปานี้มีการตกแต่งที่สวยงาม,1
บรรยากาศที่นี่สร้างความผ่อนคลาย,1
บริการนวดที่นี่ทำได้ดีและมีประสิทธิภาพ,1
การเตรียมรับการให้บริการที่สปานี้ดีมาก,1
สปานี้มีบรรยากาศที่สงบและเงียบสงบ,1
บริการนวดที่นี่มีคุณภาพ,1
พนักงานที่สปานี้มีความเป็นมืออาชีพ,1
สปานี้มีการตกแต่งที่น่าสนใจ,1
เป็นประสบการที่น่าจดจำ,1
บรรยากาศที่นี่สร้างความผ่อนคลาย,1
สปานี้มีการเลือกน้ำมันหอมระเหยที่หลากหลาย,1
บริการนวดที่นี่มีคุณภาพ,1
การให้บริการที่นี่มีมาตรฐานสูง,1
สปานี้มีการจัดสรรพื้นที่อย่างเหมาะสม,1
สนุกมากเลย,1
บรรยากาศที่นี่สร้างความผ่อนคลาย,1
ทิวทัศน์สวยมาก,1
บริการนวดที่นี่มีคุณภาพ,1
วัดที่นักท่องเที่ยวมาเยอะและสวยงามมหัศจรรในด้านศิลปะวัฒนะธรรมและการท่องเที่ยวมีหลากหลายให้ชมวิว,1
การเลือกสรรของสปานี้ทำให้คนต้องการกลับมา,1
บรรยากาศภายในสปานี้น่ารัก,1
พักสายตาได้ดีมาก การมาเที่ยวที่มี ใบไม้ ใบหญ้า สีเขียว ทำให้พักผ่อนสายตาจากการทำงาน,1
รู้สึกคลายเครียด หายเหนื่อย สดชื่น และไม่ไกลจากกรุงเทพ (รถติดนิดหน่อยนะคะ),1
บรรยากาศที่นี่มีความเป็นส่วนตัว,1
ตลาดนี้น่าสนใจมาก,1
คนละเรื่องกันเลยวิวสวยมาก,1
โคตรดี,1
มีที่เที่ยวเยอะ,1
ธรรมชาติ ป่าไม้ ร่มรื่นมาก อากาศเย็นสบาย เสียงน้ำตกกระหึ่มไปทั่วป่า มีเส้นทางเดินที่ปลอดภัย มีป้ายบอกทางที่ชัดเจน,1
โคตรเจ๋ง,1
TS เป็นวิธีการเดินทางที่สะดวกและรวดเร็วในกรุงเทพมหานคร เป็นทางเลือกที่ดีสำหรับการหลีกเลี่ยงปัญหาการจราจรและภาษีทางถนนที่แท้จริง (ยกเว้นชั่วโมงเร่งด่วนนะ),1
การเดินทางด้วยรถไฟฟ้าถือว่าเป็นการเดินทางที่สะดวกและรวดเร็ว ถึงแม้คนอาจจะแน่นไปซักนิดแต่ก็ไม่ถือเป็นอุปสรรคต่อการโดยสาร แต่อยากให้เพิ่มเก้าอี้ให้อีก,1
สดวกสะบาย เดินทางไปกลับทุกวัน,1
โคตรสนุก,1
ตลาดนี้มีสินค้าที่น่าสนใจมากมาย,1
ตลาดนี้มีบรรยากาศที่เป็นมิตร,1
บรรยากาศภายในตลาดนี้น่าอยู่,1
วัดสวยงาม เเต่ชาวต่างชาติค่อนข้างเยอะ คนเเน่นวัด อยากถ่ายรูปสวยๆก็หาจังหวะยากมาก ภายในวัดสะอาดสะอ้าน การจัดการดี,1
ราคาของสินค้าที่นี่เป็นไปได้,1
หาของกินง่ายมาก,1
การเดินทางมายังตลาดนี้สะดวก,1
บรรยากาศภายในตลาดนี้น่ารัก,1
รู้สึกดีมากๆ,1
รู้สึกดี,1
โชคดีที่พนักงงานที่โรงแรมแนะนำมา,1
การบริการของผู้ขายที่นี่ดีมาก,1
สินค้าที่นี่มีความหลากหลาย,1
แย่ตรงไหน,1
ที่นั่งมีพร้อมและสะอาดมาก,1
ก็ดี,1
มีที่จอดรถ,1
สินค้าที่นี่มีคุณภาพดี,1
อุทยานนี้มีธรรมชาติที่งดงามมาก,1
วิวที่นี่สวยงามมาก,1
อากาศรอบตัวที่อุทยานนี้สดชื่น,1
ความเงียบสงบที่นี่เหมาะแก่การพักผ่อน,1
พื้นที่ในอุทยานถูกบริหารรัดแก้ว,1
มีกิจกรรมที่นี่มากมาย,1
รู้สึกประทับใจมาก,1
สภาพแวดล้อมที่นี่สะอาดและเป็นระเบียบ,1
สถานที่นี้เหมาะสำหรับการท่องเที่ยวกับครอบครัว,1
มีสิ่งอำนวยความสะดวกที่ดี,1
การบริการที่นี่ดีเยี่ยม,1
รู้สึกชอบมาก,1
เป็นเกาะที่ร้อนบรม ไปหน้าร้อนนี่ไม่ได้เลย ร้อนเกิน ไปหน้าฝนหน้าหนาวนี่โอเค,2
เกาะล้านผมไม่คิดจะไปเหยียบอีกแล้วครับ,2
ไปมา 2 ครั้งครั้งแรกก็ที่พักยอดแย่ เจ้าของปากเสีย,2
เกาะล้านห่วยหมดอะ เล่นตัวสุดๆตั้งแต่จะจองห้องพักละ หลายที่เลย สงสัยจะเอาแต่ทัวร์จีน,2
เจอแบบนี้แย่เลย ตอนคิดตังค์ทำไมไม่ลืม แต่จัดของให้ทำไมลืมล่ะเนี่ย มาด่าลูกค้าอีก แย่จังค่ะ,2
แย่มากเจอแบบนี้ นิสัยไม่ดีเอาเสียเลย พูดจาน่ารักแบบนี้กิจการคงไปได้ดีหรอก,2
ห่วยแบบนี้สมควรประนาม อะไรมาด่าลูกค้า,2
แย่มาก,2
ห่วย,2
ที่นี่มีกับดักนักท่องเที่ยวเสมอมา,2
รูปภาพที่คุณดูออนไลน์มีในชีวิตจริงดีกว่า วัดที่ยังสร้างไม่เสร็จเป็นครึ่ง,2
ร้อน และแออัด,2
มาเฟียแท็กซี่,2
ไม่มีรสนิยมที่ดี เชิงพาณิชย์ ราคาแพงเกินไป และเนื้อหา,2
คนเยอะไปหน่อย,2
ปัญหา​รองเท้าหาย,2
อากาศที่นี่ร้อนอบอ้าวมาก,2
แออัดเกินไป,2
อย่าเสียเวลาของคุณ,2
บริการแย่มาก,2
อย่าเสียเวลาของคุณ พลัง และเงินในห้างสรรพสินค้าแห่งนี้,2
มันไม่พอดีกับ/เดินทางแบกเป้เที่ยว,2
น่าผิดหวังมาก ๆ,2
ไม่มีจุดหมายเว้นแต่หิว,2
แย่ไป,2
เสียเวลา ราคาแพงเกินไป,2
ไม่ได้เรื่องเลย,2
ไม่คุ้มค่าแก่การเข้าชม,2
ราคาแพงเกินไป,2
น่ากลัว,2
น่าผิดหวัง,2
ฉันคาดหวังไว้มากกว่านั้น,2
คนเยอะมาก ๆ เดินชนกันตลอด,2
จอดรถก็หายากมาก,2
เห็นราคาแล้วมิอาจเอื้อม,2
ราคานั้นคุณต้องทราบว่ามันค่อนข้างแพง,2
